0,0.077554
0.1,0.07807
0.2,0.25249
0.3,0.27488
0.4,0.45112
0.5,0.53044
0.6,0.54012
0.7,0.58742
0.8,0.77544
0.9,0.87319
1,0.80698
1.1,0.92546
1.2,0.91977
1.3,1.0303
1.4,1.0392
1.5,0.93095
1.6,1.072
1.7,1.0896
1.8,0.97673
1.9,1.0232
2,0.9269
2.1,0.79416
2.2,0.74847
2.3,0.7271
2.4,0.7252
2.5,0.66359
2.6,0.57349
2.7,0.39108
2.8,0.3418
2.9,0.15724
3,0.063461
3.1,-0.031161
3.2,-0.022644
3.3,-0.15871
3.4,-0.3176
3.5,-0.35178
3.6,-0.513
3.7,-0.61884
3.8,-0.54172
3.9,-0.67565
4,-0.67088
4.1,-0.77894
4.2,-0.85502
4.3,-0.85309
4.4,-0.8758
4.5,-0.87975
4.6,-1.0936
4.7,-0.92684
4.8,-0.97365
4.9,-0.88446
5,-0.95339
5.1,-0.92991
5.2,-0.82319
5.3,-0.8867
5.4,-0.77315
5.5,-0.62537
5.6,-0.61633
5.7,-0.48165
5.8,-0.41687
5.9,-0.35668
6,-0.33007
6.1,-0.14888
6.2,-0.16639
6.3,0.042006
6.4,0.14874
6.5,0.26107
6.6,0.38969
6.7,0.50131
6.8,0.54792
6.9,0.59473
7,0.74265
7.1,0.74499
7.2,0.69706
7.3,0.77461
7.4,0.97125
7.5,0.93486
7.6,1.0369
7.7,0.93005
7.8,1.009
7.9,1.0249
8,0.89576
8.1,0.99283
8.2,0.91321
8.3,0.81208
8.4,0.85251
8.5,0.73699
8.6,0.65901
8.7,0.60407
8.8,0.51422
8.9,0.43884
9,0.32065
9.1,0.34614
9.2,0.17926
9.3,0.13217
9.4,0.063808
9.5,-0.075328
9.6,-0.16717
9.7,-0.28272
9.8,-0.44169
9.9,-0.45946
10,-0.47342
10.1,-0.55029
10.2,-0.74582
10.3,-0.82599
10.4,-0.81483
10.5,-0.85163
10.6,-0.93937
10.7,-1.0154
10.8,-0.89135
10.9,-1.079
11,-1.0788
11.1,-1.0661
11.2,-1.0459
11.3,-0.92983
11.4,-0.90459
11.5,-0.96504
11.6,-0.73659
11.7,-0.71625
11.8,-0.64596
11.9,-0.70546
12,-0.46448
12.1,-0.36277
12.2,-0.26135
12.3,-0.19144
12.4,-0.10849
12.5,-0.063646
